business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,rating,American,Mexican,Chinese,Italian,Coffee&Tea,Sandwiches,Pizza
68824,Harvey's Place,330 05th St,San Francisco,CA,94107,37.779807,-122.402887,"(37.779807, -122.402887)",,68824_20141023,10/23/2014 12:00:00 AM,76,Routine - Unscheduled,68824_20141023_103129,Insufficient hot water or running water,Moderate Risk,3.5,0,0,0,0,0,0,0
68827,Slurp Ramen,710 Commercial St,San Francisco,CA,94108,,,,,68827_20160726,07/26/2016 12:00:00 AM,92,Routine - Unscheduled,68827_20160726_103120,Moderate risk food holding temperature,Moderate Risk,4,0,0,0,0,0,0,0
3439,Wipe Out Bar & Grill,Pier 39,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,3439_20161013,10/13/2016 12:00:00 AM,96,Routine - Unscheduled,,,,3.5,0,0,0,0,0,0,0
68264,Navin Thai Restaurant,1059 Powell St,San Francisco,CA,94108,37.794534,-122.409684,"(37.794534, -122.409684)",,68264_20160525,05/25/2016 12:00:00 AM,98,Routine - Unscheduled,68264_20160525_103162,Other low risk violation,Low Risk,3.5,0,0,0,0,0,0,0
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,37.748855,-122.418134,"(37.748855, -122.418134)",14155286927,1005_20160502,05/02/2016 12:00:00 AM,84,Routine - Unscheduled,1005_20160502_103131,Moderate risk vermin infestation,Moderate Risk,3.5,0,1,0,0,0,0,0
77973,First Korean Market,4625 Geary Blvd,San Francisco,CA,94118,,,,,77973_20160420,04/20/2016 12:00:00 AM,80,Routine - Unscheduled,77973_20160420_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,4.5,0,0,0,0,0,0,0
79198,Mae Krua,331 Cortland Ave,San Francisco,CA,94110,,,,,79198_20161013,10/13/2016 12:00:00 AM,96,Routine - Unscheduled,79198_20161013_103156,Permit license or inspection report not posted,Low Risk,4.5,0,0,0,0,0,0,0
75173,Peet's Coffee & Tea,919 Cole St,San Francisco,CA,94117,,,,14150592100,75173_20151019,10/19/2015 12:00:00 AM,100,Routine - Unscheduled,,,,4,0,0,0,0,1,0,0
76886,Tsing Tao #2,1117 Fillmore St,San Francisco,CA,94115,,,,,76886_20160331,03/31/2016 12:00:00 AM,80,Routine - Unscheduled,76886_20160331_103102,Unclean hands or improper use of gloves,High Risk,3,0,0,1,0,0,0,0
76883,Socola Chocolatier LLC,535 Folsom St,San Francisco,CA,94105,,,,,76883_20150609,06/09/2015 12:00:00 AM,94,Routine - Unscheduled,76883_20150609_103121,Inadequate procedures or records for time as a public health control,Moderate Risk,Unknown,,,,,,,
82058,Hillside Supper Club,300 Precita Ave,San Francisco,CA,94110,,,,,82058_20150327,03/27/2015 12:00:00 AM,100,Routine - Unscheduled,,,,4,1,0,0,0,0,0,0
3437,Fog Harbor Fish House,Pier 39  Space A202,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,3437_20160425,04/25/2016 12:00:00 AM,92,Routine - Unscheduled,3437_20160425_103142,Unclean nonfood contact surfaces,Low Risk,4,0,0,0,0,0,0,0
82054,Built By The Counter,3251 20th Ave #158,San Francisco,CA,94132,,,,14150658900,82054_20160624,06/24/2016 12:00:00 AM,87,Routine - Unscheduled,82054_20160624_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,3,0,0,0,0,0,0,0
7456,Cowgirl Creamery/Artisan Cheese,1 Ferry Building  #17,San Francisco,CA,94111,37.795225,-122.39377,"(37.795225, -122.39377)",,7456_20160322,03/22/2016 12:00:00 AM,100,Routine - Unscheduled,,,,4.5,0,0,0,0,0,0,0
7457,24TH STREET CHEESE COMPANY,3893 24th St,San Francisco,CA,94114,37.751564,-122.429369,"(37.751564, -122.429369)",,7457_20160203,02/03/2016 12:00:00 AM,98,Routine - Unscheduled,7457_20160203_103157,Food safety certificate or food handler card not available,Low Risk,3.5,0,0,0,0,0,0,0
7450,GENKI,330 CLEMENT St,San Francisco,CA,94118,37.783048,-122.462822,"(37.783048, -122.462822)",,7450_20161202,12/02/2016 12:00:00 AM,88,Routine - Unscheduled,7450_20161202_103161,Low risk vermin infestation,Low Risk,4,0,0,0,0,0,0,0
2743,NOAH'S NEW YORK BAGELS #2147,2300 16 th St,San Francisco,CA,94103,37.765708,-122.409002,"(37.765708, -122.409002)",14155862802,2743_20161024,10/24/2016 12:00:00 AM,84,Routine - Unscheduled,2743_20161024_103154,Unclean or degraded floors walls or ceilings,Low Risk,2.5,0,0,0,0,0,0,0
80419,San Francisco Farmers Market,4929 Mission St,San Francisco,CA,94112,,,,,80419_20160930,09/30/2016 12:00:00 AM,79,Routine - Unscheduled,80419_20160930_103133,Foods not protected from contamination,Moderate Risk,3.5,0,0,0,0,0,0,0
66503,Prubechu,2847 Mission St,San Francisco,CA,94110,,,,14155953654,66503_20160819,08/19/2016 12:00:00 AM,96,Routine - Unscheduled,66503_20160819_103144,Unapproved or unmaintained equipment or utensils,Low Risk,4.5,0,0,0,0,0,0,0
2032,QUEEN ANNE HOTEL,1590 SUTTER St,San Francisco,CA,94109,37.786988,-122.426464,"(37.786988, -122.426464)",14155442828,2032_20161031,10/31/2016 12:00:00 AM,85,Routine - Unscheduled,2032_20161031_103114,High risk vermin infestation,High Risk,4,0,0,0,0,0,0,0
4594,DOUBLE ROCK GROCERY,2830 Ingalls St,San Francisco,CA,94124,37.721141,-122.391223,"(37.721141, -122.391223)",,4594_20151102,11/02/2015 12:00:00 AM,94,Routine - Unscheduled,4594_20151102_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,4.5,0,0,0,0,0,0,0
65086,Bun Mee,2015 FILLMORE St,San Francisco,CA,94115,37.788193,-122.433714,"(37.788193, -122.433714)",14155807696,65086_20160712,07/12/2016 12:00:00 AM,86,Routine - Unscheduled,65086_20160712_103129,Insufficient hot water or running water,Moderate Risk,3,0,0,0,0,0,1,0
